name,category,import_dependency,origin_country,hts_code,tariff_rate,REVIEW_NEEDED
Salmon Fillet,Meat & Seafood,High,Chile,0304.41.00,0.00,
Shrimp,Meat & Seafood,High,India,0306.17.00,0.00,Shrimp origin often alternates between India and Ecuador by supplier/season.
Tilapia,Meat & Seafood,High,China,0304.61.00,25.00,Includes Section 301 additional duty from 9903.88.03 (+25%).
Ground Turkey,Meat & Seafood,Low,United States,0207.26.00,0.00,Could classify differently for prepared vs raw retail products.
Beef Steak,Meat & Seafood,Low,United States,0201.30.02,0.00,
Lamb Chops,Meat & Seafood,High,Australia,0204.22.20,0.00,NZ is also common source; verify supplier mix. | MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
White Rice,Pantry Staples,Medium,India,1006.30.90,0.00,Primary import source can vary (India/Thailand/Vietnam). | MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Brown Rice,Pantry Staples,Medium,India,1006.20.40,0.00,Primary import source can vary (India/Thailand/U.S.). | MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Pasta,Pantry Staples,Low,United States,1902.19.20,0.00,"If imported Italian durum pasta dominates, origin/dependency should be revised."
Olive Oil,Pantry Staples,High,Spain,1509.30.20,0.00,MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Vegetable Oil,Pantry Staples,Medium,Canada,1507.90.40,0.00,Type-specific sourcing (soy/canola/sunflower) can change origin and HTS line.
Canned Black Beans,Pantry Staples,Low,United States,2005.51.40,0.00,Bean preparation/packaging can shift subheading selection.
Canned Chickpeas,Pantry Staples,Medium,Turkey,2005.99.85,0.00,Source can vary (Turkey/Canada/U.S.); confirm supplier origin. | MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Sugar,Pantry Staples,Medium,Mexico,1701.99.50,0.00,Sugar tariffs depend on quota programs; verify quota status. | MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
All-Purpose Flour,Pantry Staples,Low,United States,1101.00.00,0.00,
Peanut Butter,Pantry Staples,Low,United States,2008.11.02,0.00,
Frozen Pizza,Frozen Foods,Low,United States,1905.90.90,0.00,Composite food; HTS can vary by toppings/meat content.
Frozen Vegetables,Frozen Foods,Medium,Mexico,0710.90.91,0.00,Blend composition and country mix can vary by SKU.
Frozen Berries,Frozen Foods,Medium,Chile,0811.90.80,0.00,Blend composition can change country of origin seasonally.
Ice Cream,Frozen Foods,Low,United States,2105.00.40,0.00,Ice cream lines are quota-sensitive and composition-dependent.
Frozen Chicken Nuggets,Frozen Foods,Low,United States,1602.32.00,0.00,Prepared chicken classifications depend on breading and meat content.
